title,label
NASA announces discovery of water ice in newly mapped lunar regions,REAL
World Health Organization confirms global decline in measles cases,REAL
Scientists develop battery that fully charges in under five minutes,REAL
UN releases report on record-breaking renewable energy growth in 2024,REAL
Study shows coffee consumption linked to improved memory retention,REAL
New Zealand bans commercial mining in all national parks,REAL
Researchers detect signals from exoplanet atmosphere using new telescope,REAL
Japan launches satellite aimed at tracking marine pollution,REAL
European Union approves funding for AI ethics research initiative,REAL
"Archaeologists uncover 3,000-year-old temple in northern Peru",REAL
Scientists confirm that Earth will stop rotating by 2028,FAKE
Government secretly implants microchips into all new passports,FAKE
NASA hides evidence of second moon spotted behind Earth,FAKE
Study claims that chocolate cures all forms of cancer,FAKE
Ocean suddenly turns purple due to unknown underwater explosion,FAKE
New smartphone emits radiation strong enough to melt metal objects,FAKE
Scientists discover that humans only use 5% of their brains,FAKE
Global internet shutdown scheduled by world governments for 2025,FAKE
Researchers announce successful teleportation of a living cat,FAKE
World leaders agree to replace all schools with virtual reality pods by 2030,FAKE
