text,true_label,predicted_label,score
Company announces pill that instantly teaches any language (report 1),FAKE,FAKE,0.9812774062156677
WHO approves new malaria vaccine for global distribution (report 2),REAL,REAL,0.9987764954566956
Scientists develop biodegradable alternative to traditional plastic (report 3),REAL,FAKE,0.9877148866653442
World’s largest offshore wind farm begins full operation (report 4),REAL,REAL,0.9998575448989868
Researchers say they have found a portal to a parallel universe (report 5),FAKE,FAKE,0.997349739074707
Ocean turns purple overnight due to mysterious phenomenon (report 6),FAKE,FAKE,0.9960480332374573
Study shows humans can survive without sleep for 40 days (report 7),FAKE,FAKE,0.9667742252349854
New study links air pollution to increased heart disease risks (report 8),REAL,FAKE,0.8969776630401611
UN releases new report on global climate migration trends (report 9),REAL,REAL,0.7001349329948425
World’s largest offshore wind farm begins full operation (report 10),REAL,REAL,0.9998714923858643
Scientists develop biodegradable alternative to traditional plastic (report 11),REAL,REAL,0.9078765511512756
Company announces pill that instantly teaches any language (report 12),FAKE,FAKE,0.9736740589141846
New study links air pollution to increased heart disease risks (report 13),REAL,REAL,0.8585842251777649
Ocean turns purple overnight due to mysterious phenomenon (report 14),FAKE,FAKE,0.9954240918159485
Archaeologists uncover ancient temple in South America (report 15),REAL,FAKE,0.9965106844902039
World’s largest offshore wind farm begins full operation (report 16),REAL,REAL,0.9998594522476196
City government plans to replace all streetlights with glow-in-the-dark plants (report 17),FAKE,FAKE,0.9984887838363647
Ocean turns purple overnight due to mysterious phenomenon (report 18),FAKE,FAKE,0.9957139492034912
Study shows humans can survive without sleep for 40 days (report 19),FAKE,REAL,0.9969155788421631
Company announces pill that instantly teaches any language (report 20),FAKE,REAL,0.9504861831665039
Archaeologists uncover ancient temple in South America (report 21),REAL,FAKE,0.9963788390159607
Study shows humans can survive without sleep for 40 days (report 22),FAKE,REAL,0.9969236254692078
Time traveler from 2080 reportedly appears in downtown Tokyo (report 23),FAKE,FAKE,0.9989663362503052
Researchers say they have found a portal to a parallel universe (report 24),FAKE,REAL,0.746015727519989
Company announces pill that instantly teaches any language (report 25),FAKE,FAKE,0.9484732747077942
Global oil prices rise after unexpected supply disruption (report 26),REAL,REAL,0.999896764755249
Company announces pill that instantly teaches any language (report 27),FAKE,FAKE,0.5940359830856323
"Major earthquake strikes coastal region, causing widespread damage (report 28)",REAL,REAL,0.9993281364440918
Study shows humans can survive without sleep for 40 days (report 29),FAKE,REAL,0.9788845777511597
Ocean turns purple overnight due to mysterious phenomenon (report 30),FAKE,FAKE,0.9932752847671509
WHO approves new malaria vaccine for global distribution (report 31),REAL,REAL,0.9998530149459839
Robots gain legal rights in several countries after secret summit (report 32),FAKE,REAL,0.9988225102424622
UN releases new report on global climate migration trends (report 33),REAL,FAKE,0.9815417528152466
UN releases new report on global climate migration trends (report 34),REAL,FAKE,0.9764828681945801
WHO approves new malaria vaccine for global distribution (report 35),REAL,REAL,0.9982520937919617
Ocean turns purple overnight due to mysterious phenomenon (report 36),FAKE,FAKE,0.9978041052818298
World’s largest offshore wind farm begins full operation (report 37),REAL,REAL,0.9993347525596619
International Space Station crew completes emergency repair (report 38),REAL,FAKE,0.8736608028411865
Company announces pill that instantly teaches any language (report 39),FAKE,FAKE,0.9740105271339417
UN releases new report on global climate migration trends (report 40),REAL,FAKE,0.7833637595176697
NASA announces discovery of water ice beneath lunar surface (report 41),REAL,FAKE,0.9974440336227417
Archaeologists uncover ancient temple in South America (report 42),REAL,FAKE,0.9973351359367371
UN releases new report on global climate migration trends (report 43),REAL,FAKE,0.9287301898002625
World leaders agree to build giant shield around Earth to stop solar flares (report 44),FAKE,REAL,0.9981410503387451
City government plans to replace all streetlights with glow-in-the-dark plants (report 45),FAKE,FAKE,0.9984725117683411
New smartphone app claims to let users read minds (report 46),FAKE,REAL,0.7983049750328064
Archaeologists uncover ancient temple in South America (report 47),REAL,FAKE,0.9972721934318542
Study shows humans can survive without sleep for 40 days (report 48),FAKE,FAKE,0.8966724276542664
New smartphone app claims to let users read minds (report 49),FAKE,FAKE,0.8559542298316956
Study shows humans can survive without sleep for 40 days (report 50),FAKE,FAKE,0.927953839302063
Global oil prices rise after unexpected supply disruption (report 51),REAL,REAL,0.9998821020126343
Archaeologists uncover ancient temple in South America (report 52),REAL,FAKE,0.9978380799293518
Global oil prices rise after unexpected supply disruption (report 53),REAL,REAL,0.9998949766159058
